Designator,Mid X,Mid Y,Rotation,Layer
ADC1,22.5,60.0,270.0,bottom
ADC2,-22.5,60.0,270.0,bottom
AMUX1,63.0,0.0,90.0,bottom
AMUX2,0.0,-92.0,0.0,bottom
AMUX3,-63.0,0.0,90.0,bottom
BUCK1,0.0,-42.5,0.0,top
C1,-13.5,-24.0,90.0,top
C2,14.025,-42.5,0.0,bottom
C3,14.025,-44.75,0.0,bottom
C4,1.5,-42.5,270.0,bottom
C5,-50.0,14.8,270.0,top
CTRL1,-29.75,-90.725,180.0,top
DMUX1,-55.0,-20.0,270.0,bottom
DMUX2,55.0,-20.0,90.0,bottom
DRV1,-75.973,45.49666,225.0,top
DRV2,85.87246,35.59717,135.0,top
DRV3,75.973,-45.497,45.0,top
DRV4,-85.87246,-35.59717,315.0,top
DRV5,-7.0,-30.68742,0.0,top
ESC1,15.5,-24.725,180.0,top
FH1,19.2,-40.6,270.0,bottom
GATE_LED1,-20.0,52.5,90.0,top
JP1,-63.725,-10.0,90.0,top
JP2,-63.725,-13.25,90.0,top
JP3,-63.725,-16.5,90.0,top
JP4,63.725,-10.0,270.0,top
JP5,63.725,-13.25,270.0,top
JP6,63.725,-16.5,270.0,top
JP7,22.505,63.5,90.0,top
JP8,-22.505,63.5,270.0,top
KICK1,9e-06,11.006525,0.0,top
LDO1,7.0,-42.5,180.0,bottom
LED1,9.0,64.25,180.0,bottom
LED10,96.75,40.0,270.0,bottom
LED11,101.75,25.0,270.0,bottom
LED12,104.75,8.5,270.0,bottom
LED13,104.749998,-8.5,90.0,bottom
LED14,101.749998,-25.0,90.0,bottom
LED15,96.749998,-40.0,90.0,bottom
LED16,89.249998,-53.5,90.0,bottom
LED17,73.249998,-54.0,90.0,bottom
LED18,65.749998,-61.5,90.0,bottom
LED19,58.249998,-69.0,90.0,bottom
LED2,25.0,70.25,180.0,bottom
LED20,50.749998,-76.5,90.0,bottom
LED21,53.5,-89.249998,180.0,bottom
LED22,40.0,-96.749998,180.0,bottom
LED23,25.0,-101.749998,180.0,bottom
LED24,9.0,-104.749998,180.0,bottom
LED25,-9.0,-104.75,0.0,bottom
LED26,-25.0,-101.75,0.0,bottom
LED27,-40.0,-96.75,0.0,bottom
LED28,-53.5,-89.25,0.0,bottom
LED29,-50.75,-76.5,90.0,bottom
LED3,37.0,79.25,180.0,bottom
LED30,-58.25,-69.0,90.0,bottom
LED31,-65.75,-61.5,90.0,bottom
LED32,-73.25,-54.0,90.0,bottom
LED33,-89.25,-53.5,90.0,bottom
LED34,-96.75,-40.0,90.0,bottom
LED35,-101.75,-25.0,90.0,bottom
LED36,-104.75,-8.5,90.0,bottom
LED37,-104.749998,8.5,270.0,bottom
LED38,-101.749998,25.0,270.0,bottom
LED39,-96.749998,40.0,270.0,bottom
LED4,51.0,90.75,180.0,bottom
LED40,-89.249998,53.5,270.0,bottom
LED41,-73.249998,54.0,270.0,bottom
LED42,-65.749998,61.5,270.0,bottom
LED43,-58.249998,69.0,270.0,bottom
LED44,-50.749998,76.5,270.0,bottom
LED45,-51.0,90.749998,0.0,bottom
LED46,-37.0,79.249998,0.0,bottom
LED47,-25.0,70.249998,0.0,bottom
LED48,-9.0,64.249998,0.0,bottom
LED5,50.75,76.5,270.0,bottom
LED6,58.25,69.0,270.0,bottom
LED7,65.75,61.5,270.0,bottom
LED8,73.25,54.0,270.0,bottom
LED9,89.25,53.5,270.0,bottom
LIGHTGATE1,30.025,60.0,90.0,top
LOADCELL1,-30.025,60.25,270.0,top
MCU1,0.0,-72.5,270.0,top
MOUSE1,-86.0,-2.5,270.0,top
MOUSE2,86.0,-2.5,270.0,top
MOUSE_FPC1,-90.0,-26.1875,180.0,bottom
MOUSE_FPC2,90.0,-26.1875,180.0,bottom
PR1,9.0,66.0,180.0,bottom
PR10,98.5,40.0,270.0,bottom
PR11,103.5,25.0,270.0,bottom
PR12,106.5,8.5,270.0,bottom
PR13,106.5,-8.5,90.0,bottom
PR14,103.5,-25.0,90.0,bottom
PR15,98.5,-40.0,90.0,bottom
PR16,91.0,-53.5,90.0,bottom
PR17,75.0,-54.0,90.0,bottom
PR18,67.5,-61.5,90.0,bottom
PR19,60.0,-69.0,90.0,bottom
PR2,25.0,72.0,180.0,bottom
PR20,52.5,-76.5,90.0,bottom
PR21,53.5,-91.0,180.0,bottom
PR22,40.0,-98.5,180.0,bottom
PR23,25.0,-103.5,180.0,bottom
PR24,9.0,-106.5,180.0,bottom
PR25,-9.0,-106.5,0.0,bottom
PR26,-25.0,-103.5,0.0,bottom
PR27,-40.0,-98.5,0.0,bottom
PR28,-53.5,-91.0,0.0,bottom
PR29,-52.5,-76.5,90.0,bottom
PR3,37.0,81.0,180.0,bottom
PR30,-60.0,-69.0,90.0,bottom
PR31,-67.5,-61.5,90.0,bottom
PR32,-75.0,-54.0,90.0,bottom
PR33,-91.0,-53.5,90.0,bottom
PR34,-98.5,-40.0,90.0,bottom
PR35,-103.5,-25.0,90.0,bottom
PR36,-106.5,-8.5,90.0,bottom
PR37,-106.5,8.5,270.0,bottom
PR38,-103.5,25.0,270.0,bottom
PR39,-98.5,40.0,270.0,bottom
PR4,51.0,92.5,180.0,bottom
PR40,-91.0,53.5,270.0,bottom
PR41,-75.0,54.0,270.0,bottom
PR42,-67.5,61.5,270.0,bottom
PR43,-60.0,69.0,270.0,bottom
PR44,-52.5,76.5,270.0,bottom
PR45,-51.0,92.5,0.0,bottom
PR46,-37.0,81.0,0.0,bottom
PR47,-25.0,72.0,0.0,bottom
PR48,-9.0,66.0,0.0,bottom
PR5,52.5,76.5,270.0,bottom
PR6,60.0,69.0,270.0,bottom
PR7,67.5,61.5,270.0,bottom
PR8,75.0,54.0,270.0,bottom
PR9,91.0,53.5,270.0,bottom
PWR1,18.1,-15.5,180.0,top
PWR2,33.75,-14.0,180.0,top
PWR3,-57.75,22.5,270.0,top
R1,-6.25,-51.25,180.0,bottom
