Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,100uF,
"C2, C3",1206,2,1uF,
"C4, C5, C6, C7",CAP-TH_BD13.0-P5.00-D1.2-FD,4,1000uF,
C8,1206,1,4.7uF,
D1,TO-252-3_L6.5-W5.9-P4.60-LS10.0-BL,1,MBRD1045,C5137764
D2,SMAF_L3.5-W2.6-LS4.7-RD-1,1,S3MF,C18199092
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
KICK1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,XT30,
L1,IND-SMD_L12.3-W12.3,1,SMDRI127-470MT,C9906
Q1,TO-247-3_Vertical,1,NMOS,
"R1, R11, R12, R2, R8",1206,5,10kR,
"R10, R9",TO-220-2L_L10.2-W4.6-P5.08-L,2,50R,C5209737
"R3, R4",1206,2,10R,
R5,1206,1,10k,
R6,1206,1,73.2kR,
R7,1206,1,2kR,
U1,TO-263-5_L10.2-W9.9-P1.70-LS14.4-TL,1,XL6019E1,C73018
U2,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,1,TS4535TP 250GF 009,C5342982
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TC4427AEOA713_C5804606,C5804606
