Designator,Footprint,Quantity,Value,LCSC Part #
"3V3TP1, 5VTP1, GNDTP1, VCCTP1",TestPoint_THTPad_D1.0mm_Drill0.5mm,4,TestPoint,
ADC1,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGSR,
"ADC_IN_1-3, PCM_IN1",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,Conn_01x05,
AMP1,MAX98357_breakout_no_mountingholes,1,MAX98357_breakout,
BUCK1,mini560,1,~,
C1,0805,1,1uF,
C2,0805,1,10uF,
C3,CP_Elec_6.3x7.7,1,100uF,
C4,0805,1,22uF,
"CTRL1, PWR2",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
"CTRL2, I2C1, PWM_0&1",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,
FH1,FUSE-SMD_L9.8-W5.0,1,01550900M,C108518
"IR1, IR10, IR11, IR12, IR13, IR14, IR15, IR16, IR17, IR18, IR19, IR2, IR20, IR21, IR22, IR23, IR24, IR3, IR4, IR5, IR6, IR7, IR8, IR9",SENSOR-TH_TSSP40X,24,TSSP4038,C143753
LDO1,SOT-223-3_TabPin2,1,TLV1117-33,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812B-Mini_PLCC4_3.5x3.5mm,24,WS2812B,
LVL1,SOT-23-6,1,SN74LVC1T45DBV,
MCU1,RPi_Pico_SMD_TH_USBC_cable_cutout,1,Pico,
"PI_SW1, PI_SW2, PI_SW3, PI_SW4, PI_SW5, SW2, SW3, SW4, SW5, SW6, SW7",SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,11,TS4535TP 250GF 009,C5342982
PWR1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30-M,
R1,1206,1,330kR,
R2,1206,1,91kR,
"R3, R4",1206,2,2.7kR,
"R5, R6, R7, R8, R9",1206,5,10kR,
RPI1,RPi_Zero_2W_no_front_mountingholes,1,RPi_Zero_2W,
"SPI0_0, SPI0_1",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,2,Conn_01x06,
SW1,SW-TH_MT-0-103-A101-M200-RS,1,MT-0-102-A101-M200-RS+PJ,C1788492
