Designator,Mid X,Mid Y,Rotation,Layer
ADC1,1.5,-16.25,180.0,bottom
ADC_IN_1-3,0.0,4.475,0.0,top
AMP1,0.0,-47.0,180.0,top
BUCK1,90.0,0.0,0.0,top
C1,102.2,20.4,90.0,top
C2,89.7,19.4,90.0,top
C3,69.0,12.0,0.0,top
C4,103.2,17.15,0.0,top
CTRL1,69.0,19.25,180.0,top
CTRL2,-29.75,-91.775,0.0,bottom
FH1,99.2,12.4,0.0,top
I2C1,-76.75,-9.975,180.0,top
IR1,-55.83797,-7.486375,82.5,bottom
IR10,44.198841,-34.540102,52.5,top
IR11,52.255503,-21.232116,292.5,bottom
IR12,56.017807,-7.13427,277.5,bottom
IR13,55.837969,7.486375,262.5,bottom
IR14,51.734519,21.794281,247.5,bottom
IR15,44.929858,33.877574,127.5,top
IR16,34.540102,44.198842,142.5,top
IR17,21.232116,52.255503,202.5,bottom
IR18,7.13427,56.017807,187.5,bottom
IR19,-7.486375,55.83797,172.5,bottom
IR2,-51.73452,-21.79428,67.5,bottom
IR20,-21.794281,51.73452,157.5,bottom
IR21,-33.877574,44.929858,217.5,top
IR22,-44.198842,34.540102,232.5,top
IR23,-52.255503,21.232117,112.5,bottom
IR24,-56.017807,7.134271,97.5,bottom
IR3,-44.929858,-33.877574,307.5,top
IR4,-34.540102,-44.198841,322.5,top
IR5,-21.794281,-51.734519,337.5,top
IR6,-7.486375,-55.837969,352.5,top
IR7,7.13427,-56.017807,7.5,top
IR8,21.232116,-52.255503,22.5,top
IR9,33.877574,-44.929858,37.5,top
JP1,-12.495,2.5,90.0,top
JP2,-85.0,4.75,180.0,top
JP3,-85.0,-2.245,180.0,top
JP4,-89.225,9.5,90.0,top
JP5,-85.0,-9.265,180.0,top
JP6,9.5,5.005,180.0,top
JP7,-85.0,11.735,180.0,top
LDO1,95.95,19.4,0.0,top
LED1,-49.572243,-6.52631,97.5,top
LED10,39.667667,-30.438071,232.5,top
LED11,46.193977,-19.134171,247.5,top
LED12,49.572243,-6.526309,262.5,top
LED13,49.572243,6.52631,277.5,top
LED14,46.193976,19.134172,292.5,top
LED15,39.667667,30.438072,307.5,top
LED16,30.438071,39.667667,322.5,top
LED17,19.134171,46.193977,337.5,top
LED18,6.526309,49.572243,352.5,top
LED19,-6.52631,49.572243,7.5,top
LED2,-46.193976,-19.134172,112.5,top
LED20,-19.134172,46.193976,22.5,top
LED21,-30.438072,39.667667,37.5,top
LED22,-39.667667,30.438071,52.5,top
LED23,-46.193977,19.134171,67.5,top
LED24,-49.572243,6.526309,82.5,top
LED3,-39.667667,-30.438072,127.5,top
LED4,-30.438071,-39.667667,142.5,top
LED5,-19.134171,-46.193977,157.5,top
LED6,-6.526309,-49.572243,172.5,top
LED7,6.52631,-49.572243,187.5,top
LED8,19.134172,-46.193976,202.5,top
LED9,30.438072,-39.667667,217.5,top
LVL1,-10.75,-17.5,180.0,bottom
MCU1,0.0,-13.0,270.0,top
PCM_IN1,-90.0,0.0,90.0,top
PI_SW1,-99.0,12.0,0.0,top
PI_SW2,-99.0,6.0,0.0,top
PI_SW3,-99.0,0.0,0.0,top
PI_SW4,-99.0,-6.0,0.0,top
PI_SW5,-99.0,-12.0,0.0,top
PWM_0&1,-76.75,11.025,180.0,top
PWR1,27.272613,31.727387,45.0,bottom
PWR2,-26.512653,31.744886,45.0,top
R1,69.0,-8.5,180.0,top
R2,69.0,-11.5,0.0,top
R3,18.8,-26.75,0.0,bottom
R4,13.2,-26.75,180.0,bottom
R5,-104.5,12.0,270.0,top
R6,-104.5,6.0,270.0,top
R7,-104.5,0.0,270.0,top
R8,-104.5,-6.0,270.0,top
R9,-104.5,-12.0,270.0,top
RPI1,0.0,-27.1625,180.0,top
SPI0_0,-74.25,4.025,180.0,top
SPI0_1,-74.25,-2.975,180.0,top
SW1,69.0,0.01,90.0,top
SW2,80.5,12.0,180.0,top
SW3,80.5,17.5,0.0,top
SW4,80.5,-17.5,180.0,top
SW5,80.5,-12.0,0.0,top
SW6,92.5,-12.0,0.0,top
SW7,92.5,-17.5,180.0,top
