Designator,Footprint,Quantity,Value,LCSC Part #
"1V8TP1, 3V3TP1, 5VTP1, GNDTP1, VCCTP1",TestPoint_THTPad_D1.0mm_Drill0.5mm,5,TestPoint,
BUCK1,mini560,1,~,
C1,CP_Elec_6.3x7.7,1,100uF,
"C10, C3, C5, C7, C8, C9",0805,6,1uF,
C2,0805,1,22uF,
"C4, C6",0805,2,10uF,
"DMUX1, DMUX2",SOIC-28W_7.5x17.9mm_P1.27mm,2,MCP23S17_SO,
"FFC_US1, FFC_US10, FFC_US11, FFC_US12, FFC_US13, FFC_US14, FFC_US15, FFC_US16, FFC_US2, FFC_US3, FFC_US4, FFC_US5, FFC_US6, FFC_US7, FFC_US8, FFC_US9",FPC-SMD_7P-P1.0_KINGHELM_KH-FG1.0-H2.0-7PIN,16,KH-FG1.0-H2.0-7PIN,C2925379
FH1,FUSE-SMD_L9.8-W5.0,1,01550900M,C108518
"IMU1, IMU2",ICM20948-no-mountingholes,2,~,
"J1, PWR1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
LDO1,SOT-223-3_TabPin2,1,TLV1117-33,
LDO2,SOT-223-3_TabPin2,1,TLV1117-18,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
LVL1,SOT-23-6,1,SN74LVC1T45DBV,
"LVL2, LVL3",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108EPW,
MCU1,RPi_Pico_SMD_TH_USBC_cable_cutout,1,Pico,
MIC1,INMP441_SMD,1,~,
OLED1,0.96-inch_OLED_7-no-back-mountingholes,1,~,
"R1, R2, R4, R5",0805,4,2.2kR,
"R3, R6, R7, R8",0805,4,10kR,
SW1,SW-TH_SS-12D10L5,1,SS-12D10L5,C319012
"SW2, SW3",SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,2,TS4535TP 250GF 009,C5342982
