Designator,Mid X,Mid Y,Rotation,Layer
BUCK1,0.0,-37.0,180.0,bottom
C1,-6.8,-45.6,90.0,top
C10,30.2,-2.0,270.0,top
C2,22.6,-37.0,270.0,top
C3,17.0,-31.6,90.0,top
C4,17.0,-27.6,270.0,top
C5,17.0,-22.6,90.0,top
C6,17.0,-18.6,270.0,top
C7,-30.2,-2.0,90.0,top
C8,-30.2,2.0,90.0,top
C9,30.2,2.0,270.0,top
DMUX1,-41.0,0.0,0.0,top
DMUX2,41.0,0.0,180.0,top
FFC_US1,0.0,60.0,180.0,bottom
FFC_US10,22.961006,-55.432772,337.5,bottom
FFC_US11,42.426407,-42.426407,315.0,bottom
FFC_US12,55.432772,-22.961006,292.5,bottom
FFC_US13,60.0,0.0,270.0,bottom
FFC_US14,55.432772,22.961006,247.5,bottom
FFC_US15,42.426407,42.426407,225.0,bottom
FFC_US16,22.961006,55.432772,202.5,bottom
FFC_US2,-22.961006,55.432772,157.5,bottom
FFC_US3,-42.426407,42.426407,135.0,bottom
FFC_US4,-55.432772,22.961006,112.5,bottom
FFC_US5,-60.0,0.0,90.0,bottom
FFC_US6,-55.432772,-22.961006,67.5,bottom
FFC_US7,-42.426407,-42.426407,45.0,bottom
FFC_US8,-22.961006,-55.432772,22.5,bottom
FFC_US9,0.0,-60.0,0.0,bottom
FH1,14.0,-37.0,0.0,top
IMU1,-24.852,0.0,180.0,top
IMU2,24.852,0.0,0.0,top
J1,19.475,18.0,90.0,top
JP1,-32.8,9.67,180.0,top
JP2,-36.2,9.67,180.0,top
JP3,-39.6,9.67,180.0,top
JP4,32.8,-9.67,0.0,top
JP5,36.2,-9.67,0.0,top
JP6,39.6,-9.67,0.0,top
LDO1,23.75,-29.6,180.0,top
LDO2,23.8,-20.6,180.0,top
LED1,0.0,60.0,270.0,top
LED10,22.961006,-55.432772,112.5,top
LED11,42.426407,-42.426407,135.0,top
LED12,55.432772,-22.961006,157.5,top
LED13,60.0,0.0,180.0,top
LED14,55.432772,22.961006,202.5,top
LED15,42.426407,42.426407,225.0,top
LED16,22.961006,55.432772,247.5,top
LED2,-22.961006,55.432772,292.5,top
LED3,-42.426407,42.426407,315.0,top
LED4,-55.432772,22.961006,337.5,top
LED5,-60.0,0.0,0.0,top
LED6,-55.432772,-22.961006,22.5,top
LED7,-42.426407,-42.426407,45.0,top
LED8,-22.961006,-55.432772,67.5,top
LED9,0.0,-60.0,90.0,top
LVL1,-12.0,33.0,180.0,top
LVL2,-25.2,0.0,0.0,top
LVL3,25.2,0.0,180.0,top
MCU1,0.0,4.215,0.0,top
MIC1,0.0,-35.0,0.0,top
OLED1,0.0,-24.8,180.0,top
PWR1,-18.0,-21.25,270.0,top
R1,31.6,8.6,180.0,top
R2,25.8,8.6,0.0,top
R3,-25.4,-9.0,180.0,top
R4,27.6,-9.8,180.0,top
R5,22.4,-7.8,0.0,top
R6,-23.0,8.0,180.0,top
R7,-22.4,-6.0,90.0,top
R8,22.4,6.0,270.0,top
SW1,-20.0,-37.0,270.0,top
SW2,12.0,44.0,90.0,top
SW3,17.4,44.0,270.0,top
