frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
0,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
1,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
2,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
3,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
4,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
5,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
6,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
7,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
8,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
9,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
10,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
11,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
12,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
13,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
14,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
15,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
16,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
17,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
18,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
19,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
20,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
21,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
22,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
23,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
24,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
25,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
26,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
27,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
28,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
29,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
30,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
31,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
32,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
33,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
34,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
35,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
36,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
37,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
38,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
39,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
40,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
41,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
42,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
43,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
44,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
45,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
46,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
47,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
48,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
49,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
50,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
51,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
52,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
53,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
54,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
55,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
56,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
57,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
58,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
59,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
60,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
61,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
62,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
63,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
64,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
65,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
66,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
67,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
68,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
69,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
70,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
71,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
72,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
73,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
74,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
75,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
76,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
77,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
78,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
79,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
80,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
81,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
82,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
83,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
84,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
85,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
86,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
87,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
88,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
89,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
90,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
91,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
92,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
